"","religion","income","freq"
"156"," Siddhayoga (VOL) ","$20-30k",0
"157"," New Age (VOL) ","$20-30k",0
"158"," Wica (Wiccan) (VOL) ","$20-30k",6
"159"," Pagan (VOL) ","$20-30k",7
"160"," Humanist (VOL) ","$20-30k",0
"161"," Scientology (VOL) ","$20-30k",0
"162"," Deist (VOL) ","$20-30k",2
"163"," Eclectic, a bit of everything, own beliefs (VOL) ","$20-30k",1
"164"," New Thought (VOL) ","$20-30k",0
"165"," Theosophy (VOL) ","$20-30k",1
"166"," Pantheist (VOL) ","$20-30k",1
"167"," Spiritual but not religious (VOL) ","$20-30k",5
"168"," Liberal faith (VOL) ","$20-30k",3
"169"," Asatru (Old Norse form of Paganism) (VOL) ","$20-30k",0
"170"," Druid (VOL) ","$20-30k",0
"171"," Transcendental meditation/Meditation (VOL) ","$20-30k",0
"172"," Shamanism (non-Western) (VOL) ","$20-30k",0
"173"," Eckankar (VOL) ","$20-30k",0
"174"," Self realization (VOL) ","$20-30k",0
"175"," Satanism (VOL) ","$20-30k",0
"176"," Animism (VOL) ","$20-30k",0
"177"," New Apostolic Church (VOL) ","$20-30k",0
"178"," Nihilist (VOL) ","$20-30k",0
"179"," Armenian Catholic (VOL) ","$20-30k",0
"180"," Greek rite Catholic (VOL) ","$20-30k",0
"181"," Maronite Catholic (VOL) ","$20-30k",0
"182"," National Catholic; Polish National Catholic (VOL) ","$20-30k",0
"183"," Old Catholic (VOL) ","$20-30k",0
"184"," Not Interpretable ","$20-30k",1
"185"," Don’t know/Refused (VOL) ","$20-30k",14
"186"," Christian Scientists (VOL) ","$20-30k",1
"187"," Religious science (VOL) ","$20-30k",1
"188"," Spiritualist (VOL) ","$20-30k",1
"189"," Unity; Unity Church Christ Church Unity (VOL) ","$20-30k",3
"190"," Metaphysical (VOL) ","$20-30k",0
"191"," Indian Shaker Church (VOL) ","$20-30k",1
"192"," Unification Church (Moonies) (VOL) ","$20-30k",0
"193"," Jehovah’s Witness (VOL) ","$20-30k",24
"194"," International Bible Students (VOL) ","$20-30k",0
"195"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$20-30k",0
"196"," Protestant ","$30-40k",1831
"197"," Roman Catholic ","$30-40k",670
"198"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$30-40k",51
"199"," Orthodox (Greek, Russian, or some other orthodox church) ","$30-40k",32
"200"," Jewish (Judaism) ","$30-40k",25
"201"," Muslim (Islam) ","$30-40k",10
"202"," Buddhist ","$30-40k",34
"203"," Hindu ","$30-40k",9
"204"," Atheist (do not believe in God) ","$30-40k",52
"205"," Agnostic (not sure if there is a God) ","$30-40k",81
"206"," Nothing in particular ","$30-40k",365
"207"," Christian (VOL) ","$30-40k",44
"208"," Unitarian (Universalist) (VOL) ","$30-40k",9
"209"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$30-40k",0
"210"," Mixed Christian and non-Christian (VOL) ","$30-40k",0
"211"," Messianic Jews (Jews for Jesus) (VOL) ","$30-40k",2
"212"," Mixed non-Christians (VOL) ","$30-40k",1
"213"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$30-40k",0
"214"," Bahai (VOL) ","$30-40k",2
"215"," Native American Religions (VOL) ","$30-40k",5
"216"," Shinto (VOL) ","$30-40k",0
"217"," Tao (VOL) ","$30-40k",1
"218"," Rastafarian (VOL) ","$30-40k",0
"219"," Sikh (VOL) ","$30-40k",0
"220"," Zoroastrianism (VOL) ","$30-40k",0
"221"," Siddhayoga (VOL) ","$30-40k",0
"222"," New Age (VOL) ","$30-40k",0
"223"," Wica (Wiccan) (VOL) ","$30-40k",3
"224"," Pagan (VOL) ","$30-40k",7
"225"," Humanist (VOL) ","$30-40k",1
"226"," Scientology (VOL) ","$30-40k",1
"227"," Deist (VOL) ","$30-40k",3
"228"," Eclectic, a bit of everything, own beliefs (VOL) ","$30-40k",4
"229"," New Thought (VOL) ","$30-40k",0
"230"," Theosophy (VOL) ","$30-40k",0
"231"," Pantheist (VOL) ","$30-40k",0
"232"," Spiritual but not religious (VOL) ","$30-40k",8
"233"," Liberal faith (VOL) ","$30-40k",3
"234"," Asatru (Old Norse form of Paganism) (VOL) ","$30-40k",0
"235"," Druid (VOL) ","$30-40k",0
"236"," Transcendental meditation/Meditation (VOL) ","$30-40k",1
"237"," Shamanism (non-Western) (VOL) ","$30-40k",0
"238"," Eckankar (VOL) ","$30-40k",0
"239"," Self realization (VOL) ","$30-40k",0
"240"," Satanism (VOL) ","$30-40k",1
"241"," Animism (VOL) ","$30-40k",0
"242"," New Apostolic Church (VOL) ","$30-40k",0
"243"," Nihilist (VOL) ","$30-40k",0
"244"," Armenian Catholic (VOL) ","$30-40k",0
"245"," Greek rite Catholic (VOL) ","$30-40k",0
"246"," Maronite Catholic (VOL) ","$30-40k",0
"247"," National Catholic; Polish National Catholic (VOL) ","$30-40k",0
"248"," Old Catholic (VOL) ","$30-40k",0
"249"," Not Interpretable ","$30-40k",1
"250"," Don’t know/Refused (VOL) ","$30-40k",10
"251"," Christian Scientists (VOL) ","$30-40k",2
"252"," Religious science (VOL) ","$30-40k",3
"253"," Spiritualist (VOL) ","$30-40k",2
"254"," Unity; Unity Church Christ Church Unity (VOL) ","$30-40k",3
"255"," Metaphysical (VOL) ","$30-40k",1
"256"," Indian Shaker Church (VOL) ","$30-40k",0
"257"," Unification Church (Moonies) (VOL) ","$30-40k",0
"258"," Jehovah’s Witness (VOL) ","$30-40k",24
"259"," International Bible Students (VOL) ","$30-40k",0
"260"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$30-40k",0
"261"," Protestant ","$40-50k",1682
"262"," Roman Catholic ","$40-50k",638
"263"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$40-50k",56
"264"," Orthodox (Greek, Russian, or some other orthodox church) ","$40-50k",32
"265"," Jewish (Judaism) ","$40-50k",30
"266"," Muslim (Islam) ","$40-50k",9
"267"," Buddhist ","$40-50k",33
"268"," Hindu ","$40-50k",11
"269"," Atheist (do not believe in God) ","$40-50k",35
"270"," Agnostic (not sure if there is a God) ","$40-50k",76
"271"," Nothing in particular ","$40-50k",341
"272"," Christian (VOL) ","$40-50k",47
"273"," Unitarian (Universalist) (VOL) ","$40-50k",15
"274"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$40-50k",2
"275"," Mixed Christian and non-Christian (VOL) ","$40-50k",0
"276"," Messianic Jews (Jews for Jesus) (VOL) ","$40-50k",3
"277"," Mixed non-Christians (VOL) ","$40-50k",1
"278"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$40-50k",0
"279"," Bahai (VOL) ","$40-50k",0
"280"," Native American Religions (VOL) ","$40-50k",4
"281"," Shinto (VOL) ","$40-50k",0
"282"," Tao (VOL) ","$40-50k",1
"283"," Rastafarian (VOL) ","$40-50k",0
"284"," Sikh (VOL) ","$40-50k",0
"285"," Zoroastrianism (VOL) ","$40-50k",0
"286"," Siddhayoga (VOL) ","$40-50k",0
"287"," New Age (VOL) ","$40-50k",0
"288"," Wica (Wiccan) (VOL) ","$40-50k",3
"289"," Pagan (VOL) ","$40-50k",2
"290"," Humanist (VOL) ","$40-50k",0
"291"," Scientology (VOL) ","$40-50k",0
"292"," Deist (VOL) ","$40-50k",2
"293"," Eclectic, a bit of everything, own beliefs (VOL) ","$40-50k",3
"294"," New Thought (VOL) ","$40-50k",1
"295"," Theosophy (VOL) ","$40-50k",0
"296"," Pantheist (VOL) ","$40-50k",0
"297"," Spiritual but not religious (VOL) ","$40-50k",10
"298"," Liberal faith (VOL) ","$40-50k",5
"299"," Asatru (Old Norse form of Paganism) (VOL) ","$40-50k",0
"300"," Druid (VOL) ","$40-50k",2
"301"," Transcendental meditation/Meditation (VOL) ","$40-50k",1
"302"," Shamanism (non-Western) (VOL) ","$40-50k",0
"303"," Eckankar (VOL) ","$40-50k",1
"304"," Self realization (VOL) ","$40-50k",0
"305"," Satanism (VOL) ","$40-50k",0
"306"," Animism (VOL) ","$40-50k",0
"307"," New Apostolic Church (VOL) ","$40-50k",1
"308"," Nihilist (VOL) ","$40-50k",0
"309"," Armenian Catholic (VOL) ","$40-50k",0
"310"," Greek rite Catholic (VOL) ","$40-50k",0
"311"," Maronite Catholic (VOL) ","$40-50k",0
"312"," National Catholic; Polish National Catholic (VOL) ","$40-50k",0
"313"," Old Catholic (VOL) ","$40-50k",0
"314"," Not Interpretable ","$40-50k",1
"315"," Don’t know/Refused (VOL) ","$40-50k",9
"316"," Christian Scientists (VOL) ","$40-50k",3
"317"," Religious science (VOL) ","$40-50k",0
"318"," Spiritualist (VOL) ","$40-50k",2
"319"," Unity; Unity Church Christ Church Unity (VOL) ","$40-50k",1
"320"," Metaphysical (VOL) ","$40-50k",0
"321"," Indian Shaker Church (VOL) ","$40-50k",0
"322"," Unification Church (Moonies) (VOL) ","$40-50k",1
"323"," Jehovah’s Witness (VOL) ","$40-50k",21
"324"," International Bible Students (VOL) ","$40-50k",0
"325"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$40-50k",0
"326"," Protestant ","$50-75k",2741
"327"," Roman Catholic ","$50-75k",1115
"328"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$50-75k",112
"329"," Orthodox (Greek, Russian, or some other orthodox church) ","$50-75k",47
"330"," Jewish (Judaism) ","$50-75k",95
"331"," Muslim (Islam) ","$50-75k",23
"332"," Buddhist ","$50-75k",58
"333"," Hindu ","$50-75k",34
"334"," Atheist (do not believe in God) ","$50-75k",70
"335"," Agnostic (not sure if there is a God) ","$50-75k",137
"336"," Nothing in particular ","$50-75k",528
"337"," Christian (VOL) ","$50-75k",75
"338"," Unitarian (Universalist) (VOL) ","$50-75k",23
"339"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$50-75k",0
"340"," Mixed Christian and non-Christian (VOL) ","$50-75k",1
"341"," Messianic Jews (Jews for Jesus) (VOL) ","$50-75k",0
"342"," Mixed non-Christians (VOL) ","$50-75k",1
"343"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$50-75k",0
"344"," Bahai (VOL) ","$50-75k",2
"345"," Native American Religions (VOL) ","$50-75k",4
"346"," Shinto (VOL) ","$50-75k",0
"347"," Tao (VOL) ","$50-75k",1
"348"," Rastafarian (VOL) ","$50-75k",1
"349"," Sikh (VOL) ","$50-75k",1
"350"," Zoroastrianism (VOL) ","$50-75k",0
"351"," Siddhayoga (VOL) ","$50-75k",1
"352"," New Age (VOL) ","$50-75k",2
"353"," Wica (Wiccan) (VOL) ","$50-75k",7
"354"," Pagan (VOL) ","$50-75k",5
"355"," Humanist (VOL) ","$50-75k",0
"356"," Scientology (VOL) ","$50-75k",1
"357"," Deist (VOL) ","$50-75k",1
"358"," Eclectic, a bit of everything, own beliefs (VOL) ","$50-75k",3
"359"," New Thought (VOL) ","$50-75k",0
"360"," Theosophy (VOL) ","$50-75k",0
"361"," Pantheist (VOL) ","$50-75k",3
"362"," Spiritual but not religious (VOL) ","$50-75k",11
"363"," Liberal faith (VOL) ","$50-75k",2
"364"," Asatru (Old Norse form of Paganism) (VOL) ","$50-75k",0
"365"," Druid (VOL) ","$50-75k",0
"366"," Transcendental meditation/Meditation (VOL) ","$50-75k",1
"367"," Shamanism (non-Western) (VOL) ","$50-75k",0
"368"," Eckankar (VOL) ","$50-75k",0
"369"," Self realization (VOL) ","$50-75k",0
"370"," Satanism (VOL) ","$50-75k",0
"371"," Animism (VOL) ","$50-75k",0
"372"," New Apostolic Church (VOL) ","$50-75k",0
"373"," Nihilist (VOL) ","$50-75k",0
"374"," Armenian Catholic (VOL) ","$50-75k",0
"375"," Greek rite Catholic (VOL) ","$50-75k",0
"376"," Maronite Catholic (VOL) ","$50-75k",0
"377"," National Catholic; Polish National Catholic (VOL) ","$50-75k",0
"378"," Old Catholic (VOL) ","$50-75k",1
"379"," Not Interpretable ","$50-75k",3
"380"," Don’t know/Refused (VOL) ","$50-75k",32
"381"," Christian Scientists (VOL) ","$50-75k",1
"382"," Religious science (VOL) ","$50-75k",4
"383"," Spiritualist (VOL) ","$50-75k",4
"384"," Unity; Unity Church Christ Church Unity (VOL) ","$50-75k",2
"385"," Metaphysical (VOL) ","$50-75k",2
"386"," Indian Shaker Church (VOL) ","$50-75k",0
"387"," Unification Church (Moonies) (VOL) ","$50-75k",0
"388"," Jehovah’s Witness (VOL) ","$50-75k",29
"389"," International Bible Students (VOL) ","$50-75k",1
"390"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$50-75k",0
"391"," Protestant ","$75-100k",1960
"392"," Roman Catholic ","$75-100k",947
"393"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$75-100k",85
"394"," Orthodox (Greek, Russian, or some other orthodox church) ","$75-100k",38
"395"," Jewish (Judaism) ","$75-100k",69
"396"," Muslim (Islam) ","$75-100k",16
"397"," Buddhist ","$75-100k",62
"398"," Hindu ","$75-100k",47
"399"," Atheist (do not believe in God) ","$75-100k",73
"400"," Agnostic (not sure if there is a God) ","$75-100k",122
"401"," Nothing in particular ","$75-100k",407
"402"," Christian (VOL) ","$75-100k",59
"403"," Unitarian (Universalist) (VOL) ","$75-100k",20
"404"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$75-100k",1
"405"," Mixed Christian and non-Christian (VOL) ","$75-100k",5
"406"," Messianic Jews (Jews for Jesus) (VOL) ","$75-100k",1
"407"," Mixed non-Christians (VOL) ","$75-100k",0
"408"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$75-100k",0
"409"," Bahai (VOL) ","$75-100k",0
"410"," Native American Religions (VOL) ","$75-100k",2
"411"," Shinto (VOL) ","$75-100k",0
"412"," Tao (VOL) ","$75-100k",1
"413"," Rastafarian (VOL) ","$75-100k",0
"414"," Sikh (VOL) ","$75-100k",1
"415"," Zoroastrianism (VOL) ","$75-100k",0
"416"," Siddhayoga (VOL) ","$75-100k",0
"417"," New Age (VOL) ","$75-100k",1
"418"," Wica (Wiccan) (VOL) ","$75-100k",7
"419"," Pagan (VOL) ","$75-100k",4
"420"," Humanist (VOL) ","$75-100k",1
"421"," Scientology (VOL) ","$75-100k",0
"422"," Deist (VOL) ","$75-100k",2
"423"," Eclectic, a bit of everything, own beliefs (VOL) ","$75-100k",0
"424"," New Thought (VOL) ","$75-100k",0
"425"," Theosophy (VOL) ","$75-100k",0
"426"," Pantheist (VOL) ","$75-100k",1
"427"," Spiritual but not religious (VOL) ","$75-100k",6
"428"," Liberal faith (VOL) ","$75-100k",1
"429"," Asatru (Old Norse form of Paganism) (VOL) ","$75-100k",0
"430"," Druid (VOL) ","$75-100k",0
"431"," Transcendental meditation/Meditation (VOL) ","$75-100k",0
"432"," Shamanism (non-Western) (VOL) ","$75-100k",1
"433"," Eckankar (VOL) ","$75-100k",0
"434"," Self realization (VOL) ","$75-100k",0
"435"," Satanism (VOL) ","$75-100k",0
"436"," Animism (VOL) ","$75-100k",0
"437"," New Apostolic Church (VOL) ","$75-100k",0
"438"," Nihilist (VOL) ","$75-100k",1
"439"," Armenian Catholic (VOL) ","$75-100k",0
"440"," Greek rite Catholic (VOL) ","$75-100k",0
"441"," Maronite Catholic (VOL) ","$75-100k",1
"442"," National Catholic; Polish National Catholic (VOL) ","$75-100k",1
"443"," Old Catholic (VOL) ","$75-100k",0
"444"," Not Interpretable ","$75-100k",2
"445"," Don’t know/Refused (VOL) ","$75-100k",19
"446"," Christian Scientists (VOL) ","$75-100k",1
"447"," Religious science (VOL) ","$75-100k",3
"448"," Spiritualist (VOL) ","$75-100k",3
"449"," Unity; Unity Church Christ Church Unity (VOL) ","$75-100k",3
"450"," Metaphysical (VOL) ","$75-100k",1
"451"," Indian Shaker Church (VOL) ","$75-100k",0
"452"," Unification Church (Moonies) (VOL) ","$75-100k",0
"453"," Jehovah’s Witness (VOL) ","$75-100k",15
"454"," International Bible Students (VOL) ","$75-100k",0
"455"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$75-100k",0
"456"," Protestant ","$100-150k",1511
"457"," Roman Catholic ","$100-150k",790
"458"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) ","$100-150k",49
"459"," Orthodox (Greek, Russian, or some other orthodox church) ","$100-150k",42
"460"," Jewish (Judaism) ","$100-150k",87
"461"," Muslim (Islam) ","$100-150k",8
"462"," Buddhist ","$100-150k",39
"463"," Hindu ","$100-150k",48
"464"," Atheist (do not believe in God) ","$100-150k",59
"465"," Agnostic (not sure if there is a God) ","$100-150k",109
"466"," Nothing in particular ","$100-150k",321
"467"," Christian (VOL) ","$100-150k",46
"468"," Unitarian (Universalist) (VOL) ","$100-150k",17
"469"," Mixed Christians (e.g., Catholic AND Protestant) (VOL) ","$100-150k",0
"470"," Mixed Christian and non-Christian (VOL) ","$100-150k",2
"471"," Messianic Jews (Jews for Jesus) (VOL) ","$100-150k",1
"472"," Mixed non-Christians (VOL) ","$100-150k",0
"473"," Hebrew Israelite/African Hebrew Israelites (VOL) ","$100-150k",0
"474"," Bahai (VOL) ","$100-150k",1
"475"," Native American Religions (VOL) ","$100-150k",2
"476"," Shinto (VOL) ","$100-150k",0
"477"," Tao (VOL) ","$100-150k",1
"478"," Rastafarian (VOL) ","$100-150k",0
"479"," Sikh (VOL) ","$100-150k",1
"480"," Zoroastrianism (VOL) ","$100-150k",0
"481"," Siddhayoga (VOL) ","$100-150k",0
"482"," New Age (VOL) ","$100-150k",1
"483"," Wica (Wiccan) (VOL) ","$100-150k",2
"484"," Pagan (VOL) ","$100-150k",1
"485"," Humanist (VOL) ","$100-150k",2
"486"," Scientology (VOL) ","$100-150k",0
"487"," Deist (VOL) ","$100-150k",2
"488"," Eclectic, a bit of everything, own beliefs (VOL) ","$100-150k",4
"489"," New Thought (VOL) ","$100-150k",1
"490"," Theosophy (VOL) ","$100-150k",0
"491"," Pantheist (VOL) ","$100-150k",1
"492"," Spiritual but not religious (VOL) ","$100-150k",4
"493"," Liberal faith (VOL) ","$100-150k",1
"494"," Asatru (Old Norse form of Paganism) (VOL) ","$100-150k",1
"495"," Druid (VOL) ","$100-150k",0
"496"," Transcendental meditation/Meditation (VOL) ","$100-150k",0
"497"," Shamanism (non-Western) (VOL) ","$100-150k",0
"498"," Eckankar (VOL) ","$100-150k",1
"499"," Self realization (VOL) ","$100-150k",0
"500"," Satanism (VOL) ","$100-150k",0
"501"," Animism (VOL) ","$100-150k",1
"502"," New Apostolic Church (VOL) ","$100-150k",0
"503"," Nihilist (VOL) ","$100-150k",0
"504"," Armenian Catholic (VOL) ","$100-150k",2
"505"," Greek rite Catholic (VOL) ","$100-150k",0
"506"," Maronite Catholic (VOL) ","$100-150k",0
"507"," National Catholic; Polish National Catholic (VOL) ","$100-150k",0
"508"," Old Catholic (VOL) ","$100-150k",0
"509"," Not Interpretable ","$100-150k",2
"510"," Don’t know/Refused (VOL) ","$100-150k",15
"511"," Christian Scientists (VOL) ","$100-150k",1
"512"," Religious science (VOL) ","$100-150k",3
"513"," Spiritualist (VOL) ","$100-150k",2
"514"," Unity; Unity Church Christ Church Unity (VOL) ","$100-150k",4
"515"," Metaphysical (VOL) ","$100-150k",1
"516"," Indian Shaker Church (VOL) ","$100-150k",0
"517"," Unification Church (Moonies) (VOL) ","$100-150k",0
"518"," Jehovah’s Witness (VOL) ","$100-150k",11
"519"," International Bible Students (VOL) ","$100-150k",0
"520"," Lutheran Orthodox Church/The Catholic Church - Lutheran Rite (VOL) ","$100-150k",0
"521"," Protestant ",">150k",1087
